Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; raw RCADS scores,Neutral Angry,LOT,Major Depression,Major Depression Raw,35,0.10934109867730751,-0.23237253000974206,0.4270277993046071,0.5318022619333566,0.007737291976233877,0.9648146322293657,P25,-0.12290330248971906,-0.12290330248971906,0.2004665093595793,1,P25,False,0.8791016982979976,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,LOT,Separation Anxiety,Separation Anxiety Raw,35,0.09704105109671071,-0.24409932258619543,0.4168085914429836,0.579192671526045,0.19424595216277432,0.26351115802668595,P27,0.31313253389011664,0.017699646192611045,0.31313253389011664,1,P25,False,0.8959811826921057,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,LOT,Generalized Anxiety,Generalized Anxiety Raw,35,0.09916608739347182,-0.24208043006197882,0.41857992337548583,0.5708717486530265,0.06007772999800814,0.7317290075329385,P27,0.2409215841308931,0.028590066393427618,0.2409215841308931,1,P25,False,0.8959811826921057,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.1905148602646562,-0.15240781552681237,0.49249375501526865,0.27297092209120327,0.17861993719448285,0.30459097155416703,P30,0.2626005231704102,0.15349573260225938,0.2626005231704102,1,P25,False,0.73266846457044,1.0,1.0,0.9671159828181435,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,ROT,Social Phobia,Social Phobia Raw,35,-0.22630932404305584,-0.5203153498055896,0.1156599217298706,0.19111869304007362,0.05027401689736075,0.7742618150205295,P27,0.1167309567985236,-0.2644162595103997,0.1167309567985236,1,P27,False,0.6518153320524616,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,ROT,Panic Disorder,Panic Disorder Raw,35,-0.19126636147580817,-0.4930842791327831,0.1516459202636769,0.2710479925155753,0.13030305180075266,0.4556212150661364,P27,0.07008196548399856,-0.22943093271301976,0.07008196548399856,1,P27,False,0.73266846457044,1.0,1.0,0.9817465616303366,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,ROT,Major Depression,Major Depression Raw,35,-0.2933724594521643,-0.5708132427645136,0.044194806171999966,0.0871830308652857,-0.01617797413212538,0.9265072402794512,P27,0.08832990408699247,-0.3343750177491683,0.08832990408699247,1,P27,False,0.4955667017605713,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,ROT,Separation Anxiety,Separation Anxiety Raw,35,-0.5723434882191435,-0.7605325302760111,-0.29544822346452604,0.0003274823790717373,-0.04101380808128959,0.8150415101034002,P27,0.09305077358047882,-0.6340349133543345,0.09305077358047882,1,P27,False,0.015157755831320414,0.09639577241226087,0.10413939654481247,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,ROT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.427176363762613,-0.6656624927823066,-0.10952063425478155,0.010485191357537602,0.01459435422121424,0.933684575019829,P27,0.10233725181392839,-0.530992998064283,0.10233725181392839,1,P27,False,0.18873344443567683,1.0,1.0,0.9829942383802484,1.0,1.0
All audit data; raw RCADS scores,Neutral Angry,ROT,Obsessive Compulsive,Obsessive Compulsive Raw,35,-0.04293855407764059,-0.3708781568156791,0.2945223475018815,0.8065221417285655,-0.04711011889352495,0.7881340272593126,P30,-0.08986817839077905,-0.08986817839077905,0.003324902249807086,1,P27,False,0.9780801907553272,1.0,1.0,0.9829942383802484,1.0,1.0
