Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; lateralization,Positive Valence,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.07377764090730068,-0.2660090401932573,0.39725716367672625,0.6736107369932242,0.24380553977223035,0.15812919649399798,P27,0.14795779432191644,0.061906697006209786,0.14795779432191644,1,P27,False,0.7739357403751937,1.0,1.0,0.5043586854437019,1.0,1.0
All audit data; lateralization,Angry Caucasian,ROT minus LOT,Social Phobia,Social Phobia Raw,22,0.44163974944102524,0.0246144988428069,0.7277431196366235,0.03961598723374791,0.24964700305534013,0.2625203511486294,P27,0.17392246051816027,0.17392246051816027,0.4856371246995361,3,P20; P27; P29,False,0.10547557738587378,0.48259616256905247,1.0,0.5452345754625381,1.0,1.0
All audit data; lateralization,Angry Caucasian,ROT minus LOT,Panic Disorder,Panic Disorder Raw,22,0.4078752565070913,-0.016585250659449057,0.707772549909694,0.05952072328734932,0.32318328590465933,0.14235256212283348,P27,0.21421050535569888,0.21421050535569888,0.5152453164290653,3,P20; P27; P29,False,0.13392162739653599,0.6127490843698058,1.0,0.5043586854437019,1.0,1.0
All audit data; lateralization,Angry Caucasian,ROT minus LOT,Major Depression,Major Depression Raw,22,0.4581714323708022,0.04531678016018569,0.7373472819494024,0.03200081557540961,0.20227667802767701,0.36665167366135853,P27,-0.06916981457382755,-0.06916981457382755,0.48763940803031475,3,P20; P27; P29,False,0.09600244672622883,0.4392525126250023,1.0,0.6621897483021653,1.0,1.0
All audit data; lateralization,Angry Caucasian,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,22,0.800868212773287,0.572599639301934,0.9138968322689075,7.554381139642644e-06,0.3095187480936379,0.16099575107813607,P27,0.26104793387946207,0.26104793387946207,0.8485981606521881,3,P20; P27; P29,False,0.00016757550638746876,0.0007667300651723114,0.00040038220040106013,0.5043586854437019,1.0,1.0
All audit data; lateralization,Angry Caucasian,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,22,0.5529327960834575,0.1712452326101361,0.7903045478760359,0.007608273953451458,0.05540053002833838,0.8065562189378662,P27,-0.09744996200749517,-0.09744996200749517,0.7053422297496782,3,P20; P27; P29,False,0.03160359949895221,0.14460006969922706,0.31954750604496124,0.9073757463050995,1.0,1.0
All audit data; lateralization,Angry Caucasian,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,22,0.0693228577528313,-0.36289186686688235,0.4769902614139293,0.7591919579247551,0.12924858993947433,0.5664713030415354,P27,-0.04950206278611796,-0.04950206278611796,0.1740088092404107,3,P20; P27; P29,False,0.8366605250599342,1.0,1.0,0.7843448811344336,1.0,1.0
All audit data; lateralization,Happy Caucasian,ROT minus LOT,Social Phobia,Social Phobia Raw,22,-0.39376908360765955,-0.6992848044178996,0.03338118677658666,0.06980196881999894,-0.06623287836162084,0.7696387810389733,P27,0.027256369856441167,-0.4696223280107068,0.027256369856441167,1,P27,False,0.1507722526511977,0.6898479473135798,1.0,0.90348900382836,1.0,1.0
All audit data; lateralization,Happy Caucasian,ROT minus LOT,Panic Disorder,Panic Disorder Raw,22,-0.3793753096577818,-0.6905342915433079,0.05027442220437013,0.08162422723285738,-0.07409846061306122,0.7431263112118656,P27,-0.05132876817126819,-0.4425685398302396,-0.05132876817126819,1,P27,False,0.16952724117593457,0.7756600918439858,1.0,0.8917515734542386,1.0,1.0
All audit data; lateralization,Happy Caucasian,ROT minus LOT,Major Depression,Major Depression Raw,22,-0.5410774315273463,-0.7838677583497163,-0.15477719391459116,0.009312745539248685,-0.3125061036944448,0.15678187627284865,P27,-0.3358926875279079,-0.6109501216943711,-0.3358926875279079,1,P27,False,0.03592058993710207,0.16435215895944133,0.38182256710919604,0.5043586854437019,1.0,1.0
