Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Facial expression,P27 omitted,Neutral Sad,CP,Social Phobia,Social Phobia Raw,34,-0.1782711785557587,-0.4870735510151506,0.17015217667997312,0.3131094848505609,-0.09913469690026144,0.5769774134685912,P18,-0.11270648475214651,-0.2199398385176132,-0.11270648475214651,0.6844799443115858,1.0,1.0,0.8145563484262464,1.0,1.0
Facial expression,P27 omitted,Neutral Sad,CP,Panic Disorder,Panic Disorder Raw,34,-0.02203841548957848,-0.35753950134168233,0.318500953897738,0.9015423994548079,0.0568506138421906,0.7494593569268049,P4,0.12096048259237493,-0.11259829461607632,0.12096048259237493,0.9015423994548079,1.0,1.0,0.8565249793449199,1.0,1.0
Valence,All 35 participants,Positive Valence,LOT,Social Phobia,Social Phobia Raw,35,0.05050141961141554,-0.28758501498137734,0.37739659698295974,0.7732673479884243,-0.03243937961812943,0.8532347917977191,P27,-0.17123685706371872,-0.17123685706371872,0.18977552977264758,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,LOT,Panic Disorder,Panic Disorder Raw,35,0.06430667211414634,-0.2748294612807066,0.38921240408904845,0.7136138160405125,-0.07286218423169125,0.6774412734005798,P27,-0.10565874498965022,-0.10565874498965022,0.11660045850029264,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,ROT,Social Phobia,Social Phobia Raw,35,0.29375550703516307,-0.04377644543334477,0.5710957690939631,0.08675200641906353,0.19070423169445783,0.2724855249901321,P27,0.06958853932754491,0.06958853932754491,0.33051482796821374,0.7398835406279098,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,ROT,Panic Disorder,Panic Disorder Raw,35,0.246092358285598,-0.0949401757891714,0.5354287012955875,0.15414240429748122,0.15775016586084611,0.3654367637735564,P27,0.10716431597105712,0.10716431597105712,0.28966862368342666,0.7398835406279098,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,O,Social Phobia,Social Phobia Raw,35,-0.08950226444891121,-0.41050495666312303,0.2512377785812172,0.6091405973772677,0.03819701842481041,0.8275466985533675,P25,-0.014754062328844424,-0.12013827212425186,-0.014754062328844424,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,O,Panic Disorder,Panic Disorder Raw,35,-0.13346379884173568,-0.4468366789699683,0.20908194755207735,0.4446670194651404,-0.07753102322129476,0.6579906197547154,P4,0.03668558824420041,-0.16066323923671902,0.03668558824420041,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,Frontal,Social Phobia,Social Phobia Raw,35,-0.06631200932904342,-0.39091990880728394,0.272966619271789,0.7050765417080032,0.05336348162289689,0.7607819381982373,P25,0.13495195862049922,-0.13825062705076788,0.13495195862049922,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,Frontal,Panic Disorder,Panic Disorder Raw,35,-0.06973543231616663,-0.3938297315700145,0.2697805676353599,0.6905841017444035,-0.012167277366845529,0.944694447688643,P35,0.030872540737853792,-0.12712592333945097,0.030872540737853792,0.8552620411157117,1.0,1.0,0.944694447688643,1.0,1.0
