Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; T scores,Neutral Happy,CP,Social Phobia,Social Phobia T,35,0.06404859831727897,-0.27506901210558654,0.3889924971045827,0.7147150213321231,0.2280186923315422,0.18769820346431196,P25,0.3049824843638149,-0.07862428143198633,0.3049824843638149,0.918919313141301,1.0,1.0,0.7857134098506081,1.0,1.0
All 35 participants; T scores,Neutral Happy,CP,Panic Disorder,Panic Disorder T,35,0.24891120443821083,-0.09196361120281232,0.5375671958392473,0.14932895812054522,0.5377207624968733,0.0008642489903788388,P8,0.32189511800786663,0.19573531010163187,0.32189511800786663,0.646331578971827,1.0,1.0,0.155564818268191,0.8980675631764038,0.155564818268191
All 35 participants; T scores,Neutral Happy,CP,Major Depression,Major Depression T,35,0.23258569542066193,-0.10911844279358927,0.5251302457077432,0.17877145754772408,0.46165802331097655,0.005244229400788563,P20,0.3747592931996457,0.12642380241789491,0.3747592931996457,0.6846566459274539,1.0,1.0,0.22698974421817444,1.0,0.9282286039395757
All 35 participants; T scores,Neutral Happy,CP,Separation Anxiety,Separation Anxiety T,35,0.19572193548879976,-0.1471203356297512,0.49657973302654784,0.2598292616973434,0.13775234291996571,0.4300361648766212,P20,0.12493427813472603,0.12493427813472603,0.22139338641363077,0.7267696413328704,1.0,1.0,0.96834456555666,1.0,1.0
All 35 participants; T scores,Neutral Happy,CP,Generalized Anxiety,Generalized Anxiety T,35,0.20358054183641372,-0.13910310694042283,0.502721216200226,0.24079913338529269,0.48229956121921885,0.0033454998604459532,P25,0.22372310104844345,0.1926679352986175,0.22372310104844345,0.7105548198254538,1.0,1.0,0.22698974421817444,1.0,0.5988444750198256
All 35 participants; T scores,Neutral Happy,CP,Obsessive Compulsive,Obsessive Compulsive T,35,0.29967868178272244,-0.03729210960562937,0.5754562073553973,0.08029371087261089,0.39436527359570117,0.019064337444353027,P20,0.2552055960268649,0.2552055960268649,0.33653736548061625,0.5542899746379294,1.0,1.0,0.38171671708568766,1.0,1.0
All 35 participants; T scores,Neutral Sad,LOT,Social Phobia,Social Phobia T,35,-0.35194628343694706,-0.6132659973559473,-0.021184341938837066,0.038136565983900146,-0.20586189442970723,0.23545480718588935,P27,-0.28323745598392225,-0.3974196769282707,-0.28323745598392225,0.38429474554605325,1.0,1.0,0.8277474059300411,1.0,1.0
All 35 participants; T scores,Neutral Sad,LOT,Panic Disorder,Panic Disorder T,35,-0.29571414770582877,-0.5725393873165515,0.04163538584221283,0.08457363465812816,-0.31565236071198294,0.06472583923346276,P35,-0.3767705379128786,-0.3767705379128786,-0.24550530984954155,0.5542899746379294,1.0,1.0,0.5006084947228634,1.0,1.0
All 35 participants; T scores,Neutral Sad,LOT,Major Depression,Major Depression T,35,-0.2693770484537748,-0.552982888375532,0.07016844519918325,0.117614819084458,-0.23503865928446374,0.1741031699394213,P20,-0.39076292378865346,-0.39076292378865346,-0.16934506067835073,0.5634219436826926,1.0,1.0,0.7857134098506081,1.0,1.0
All 35 participants; T scores,Neutral Sad,LOT,Separation Anxiety,Separation Anxiety T,35,-0.4687516876274042,-0.6936441609351808,-0.16059105206483593,0.004507410983625367,-0.273257960573143,0.1122180384305477,P27,-0.32977389078823,-0.5076682551832605,-0.32977389078823,0.10141674713157076,0.5854735792813293,0.7797821001671884,0.6733082305832863,1.0,1.0
