Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants,Neutral Happy,Frontal,Separation Anxiety,Separation Anxiety Raw,35,-0.15797122033878458,-0.46665165241783274,0.1850151436477225,0.36475672981666296,-0.2170314010968241,0.2104475599398979,P20,-0.3208931948868723,-0.3208931948868723,-0.09238371440119206,0.7634443182209224,1.0,1.0,0.8234904519387309,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Generalized Anxiety,Generalized Anxiety Raw,35,0.01329398124447452,-0.32137631609472844,0.3450120625723011,0.9395820404750407,0.023095919786970107,0.8952275994421437,P20,-0.06755980509909867,-0.06755980509909867,0.09372817856984617,0.9793845959792696,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,Frontal,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.18607591615797578,-0.15689985606682158,0.4889999843620149,0.28451038103473025,0.09037741842111283,0.6056305148726114,P11,0.10012743243386732,0.10012743243386732,0.24523359780542,0.7108273625444959,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,PO,Social Phobia,Social Phobia Raw,35,0.12987378552817555,-0.21257291261885872,0.44390799633241024,0.457120005672107,0.05504864420046206,0.7534580902970247,P20,0.016117892140619924,0.016117892140619924,0.19246637096291966,0.8262747003947434,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,PO,Panic Disorder,Panic Disorder Raw,35,0.2572860882675841,-0.08308405853615516,0.5438989040317715,0.13567434264702982,0.3682723603011501,0.029498965221898096,P8,0.3232988069683376,0.20047698672479733,0.3232988069683376,0.5780340161155546,1.0,1.0,0.4216344935846281,1.0,1.0
All 35 participants,Neutral Happy,PO,Major Depression,Major Depression Raw,35,0.08850767297708273,-0.2521767949265846,0.40967102148137724,0.6131401618676734,0.10775937552354818,0.5377897807176127,P27,0.018569432871395473,0.018569432871395473,0.1384283678387643,0.8555444119083815,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,PO,Separation Anxiety,Separation Anxiety Raw,35,0.19445940126327033,-0.14840416719488483,0.49559024882733577,0.2629765889024459,-0.01552258708632141,0.9294769475731803,P27,0.08305200376808075,0.08305200376808075,0.23774774297402493,0.7108273625444959,1.0,1.0,0.9804540937228138,1.0,1.0
All 35 participants,Neutral Happy,PO,Generalized Anxiety,Generalized Anxiety Raw,35,0.22133204014252086,-0.12082643741126801,0.5164837082898655,0.20132680276750592,0.25306326834066634,0.1424395207058863,P27,0.14075503978495385,0.14075503978495385,0.28771232724150114,0.6357688508447555,1.0,1.0,0.7408551343847037,1.0,1.0
All 35 participants,Neutral Happy,PO,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.2489469376121781,-0.09192583956585312,0.5375942807065617,0.14926865090319874,0.22928822216757916,0.18518588583296688,P20,0.18711190657756166,0.18711190657756166,0.2904395851405699,0.5780340161155546,1.0,1.0,0.7616990207498406,1.0,1.0
All 35 participants,Neutral Happy,CP,Social Phobia,Social Phobia Raw,35,0.07139144884255244,-0.26823670267493205,0.395234976403018,0.6836119112317399,0.2266543666825147,0.19042475518746016,P25,0.31196909653541294,-0.07980128579970447,0.31196909653541294,0.9053592936229887,1.0,1.0,0.7616990207498406,1.0,1.0
