Variant,Condition,ROI,RCADS Scale,N,Partial Pearson r,Partial Pearson p,Degrees of Freedom,Covariates,Partial Pearson q (BH-FDR),Partial Pearson q (BY-FDR),Partial Pearson p (Holm)
All 35 participants,Neutral Sad,CP,Panic Disorder,35,-0.016351645867879287,0.9280352847590161,31,Age; Sex,0.9826255956271935,1.0,1.0
All 35 participants,Neutral Sad,CP,Major Depression,35,0.01867675064866835,0.9178346572459024,31,Age; Sex,0.9775753745814345,1.0,1.0
All 35 participants,Neutral Sad,CP,Separation Anxiety,35,-0.1997523434706254,0.2650548925920479,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Neutral Sad,CP,Generalized Anxiety,35,-0.09991589736021209,0.5801064758501777,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Neutral Sad,CP,Obsessive Compulsive,35,0.008593267971923424,0.9621450647051033,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Positive Valence,LOT,Social Phobia,35,0.1044784607530565,0.5628399906749425,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Positive Valence,LOT,Panic Disorder,35,0.16218518686850372,0.36718996827473904,31,Age; Sex,0.7595016988918457,1.0,1.0
All 35 participants,Positive Valence,LOT,Major Depression,35,0.4637010932484106,0.006568457334981179,31,Age; Sex,0.11823223202966122,0.6825484945107041,1.0
All 35 participants,Positive Valence,LOT,Separation Anxiety,35,0.4702994015257344,0.005747119453300655,31,Age; Sex,0.11494238906601309,0.6635564030694181,0.9885045459677126
All 35 participants,Positive Valence,LOT,Generalized Anxiety,35,0.3522434659511015,0.04438722168773858,31,Age; Sex,0.36316817744513386,1.0,1.0
All 35 participants,Positive Valence,LOT,Obsessive Compulsive,35,0.1500428908454981,0.4046026186051469,31,Age; Sex,0.7831018424615745,1.0,1.0
All 35 participants,Positive Valence,ROT,Social Phobia,35,0.25973995163147057,0.14435915574985794,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Positive Valence,ROT,Panic Disorder,35,0.20188068991601074,0.2598913530373219,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Positive Valence,ROT,Major Depression,35,0.36280334312231405,0.03797891065140909,31,Age; Sex,0.34181019586268185,1.0,1.0
All 35 participants,Positive Valence,ROT,Separation Anxiety,35,0.6767714161940656,1.5297519814764054e-05,31,Age; Sex,0.0013767767833287648,0.007948060394415873,0.0027382560468427655
All 35 participants,Positive Valence,ROT,Generalized Anxiety,35,0.49789564871349085,0.0031933481144763233,31,Age; Sex,0.07397463611937553,0.42705170703865286,0.5556425719188802
All 35 participants,Positive Valence,ROT,Obsessive Compulsive,35,0.06933658183387646,0.7014141389535226,31,Age; Sex,0.8801611973331155,1.0,1.0
All 35 participants,Positive Valence,O,Social Phobia,35,-0.03519646493102173,0.8458217498380465,31,Age; Sex,0.9513455824237352,1.0,1.0
All 35 participants,Positive Valence,O,Panic Disorder,35,-0.0033493966314314108,0.9852408219728699,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Positive Valence,O,Major Depression,35,0.14717176836174212,0.41375513981698486,31,Age; Sex,0.7870546100561954,1.0,1.0
All 35 participants,Positive Valence,O,Separation Anxiety,35,0.14452419776181322,0.4222972797191722,31,Age; Sex,0.7918073994734479,1.0,1.0
All 35 participants,Positive Valence,O,Generalized Anxiety,35,0.07901969392335378,0.6620277413141875,31,Age; Sex,0.8653375519157759,1.0,1.0
All 35 participants,Positive Valence,O,Obsessive Compulsive,35,0.04310508707202419,0.8117394649943115,31,Age; Sex,0.9380923256319691,1.0,1.0
All 35 participants,Positive Valence,Frontal,Social Phobia,35,0.08996638665372986,0.6185533898111408,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Positive Valence,Frontal,Panic Disorder,35,0.1691204222532875,0.34677463363866123,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Positive Valence,Frontal,Major Depression,35,0.39053358822308554,0.024639069816603326,31,Age; Sex,0.2535421229734532,1.0,1.0
All 35 participants,Positive Valence,Frontal,Separation Anxiety,35,0.3706471102851585,0.03372069853574406,31,Age; Sex,0.31945924928599634,1.0,1.0
All 35 participants,Positive Valence,Frontal,Generalized Anxiety,35,0.2066373943117092,0.24859193470356064,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Positive Valence,Frontal,Obsessive Compulsive,35,0.23099954746950915,0.19587246518421977,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Positive Valence,PO,Social Phobia,35,-0.056233101334253584,0.7559337218994294,31,Age; Sex,0.9011130459728297,1.0,1.0
All 35 participants,Positive Valence,PO,Panic Disorder,35,-0.019731621096352,0.9132109021680237,31,Age; Sex,0.9775753745814345,1.0,1.0
All 35 participants,Positive Valence,PO,Major Depression,35,0.13619474034938323,0.44980276987675094,31,Age; Sex,0.8016286987902492,1.0,1.0
All 35 participants,Positive Valence,PO,Separation Anxiety,35,0.13280651718885184,0.461261190989397,31,Age; Sex,0.803836542970733,1.0,1.0
All 35 participants,Positive Valence,PO,Generalized Anxiety,35,0.17261479492154524,0.3367539722850025,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Positive Valence,PO,Obsessive Compulsive,35,0.12055019251904778,0.5039741934541841,31,Age; Sex,0.825600923259464,1.0,1.0
All 35 participants,Positive Valence,CP,Social Phobia,35,-0.13187484732070825,0.46443889149420126,31,Age; Sex,0.803836542970733,1.0,1.0
All 35 participants,Positive Valence,CP,Panic Disorder,35,0.09599645183436849,0.5951247868284453,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Positive Valence,CP,Major Depression,35,0.3556287976149817,0.04224478631600043,31,Age; Sex,0.3620981684228608,1.0,1.0
All 35 participants,Positive Valence,CP,Separation Anxiety,35,0.2406666074951614,0.17729053098998815,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Positive Valence,CP,Generalized Anxiety,35,0.1968860800776723,0.27211414457537497,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Positive Valence,CP,Obsessive Compulsive,35,0.22470208082311005,0.2086832109965615,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,LOT,Social Phobia,35,-0.23247822814275076,0.19294566560193696,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,LOT,Panic Disorder,35,-0.19727367583850652,0.271152460290291,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,LOT,Major Depression,35,-0.30400174016672366,0.08543331441469648,31,Age; Sex,0.5492141640944773,1.0,1.0
All 35 participants,Negative Valence,LOT,Separation Anxiety,35,-0.44166668257481895,0.01007647479409706,31,Age; Sex,0.13952042022595929,0.8054440920546847,1.0
All 35 participants,Negative Valence,LOT,Generalized Anxiety,35,-0.49657912808012505,0.0032877616053055793,31,Age; Sex,0.07397463611937553,0.42705170703865286,0.5687827577178652
All 35 participants,Negative Valence,LOT,Obsessive Compulsive,35,-0.24528006089941873,0.1688773184600478,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,ROT,Social Phobia,35,-0.24882070325524108,0.16261651187904053,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,ROT,Panic Disorder,35,-0.1930300010321109,0.281802445331677,31,Age; Sex,0.7045061133291924,1.0,1.0
All 35 participants,Negative Valence,ROT,Major Depression,35,-0.32329767533798454,0.0664717341600176,31,Age; Sex,0.4601889288001219,1.0,1.0
All 35 participants,Negative Valence,ROT,Separation Anxiety,35,-0.6989259386512324,6.061586827747189e-06,31,Age; Sex,0.001091085628994494,0.006298780295931713,0.001091085628994494
All 35 participants,Negative Valence,ROT,Generalized Anxiety,35,-0.5156394399590088,0.002131814557154607,31,Age; Sex,0.06395443671463821,0.36920561971548765,0.3730675475020562
All 35 participants,Negative Valence,ROT,Obsessive Compulsive,35,-0.06748943445636867,0.7090187422961208,31,Age; Sex,0.8801611973331155,1.0,1.0
All 35 participants,Negative Valence,O,Social Phobia,35,-0.16942763218083115,0.34588649920562164,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Negative Valence,O,Panic Disorder,35,-0.10808901169423898,0.5493457772980175,31,Age; Sex,0.8524331027038202,1.0,1.0
All 35 participants,Negative Valence,O,Major Depression,35,-0.08991024702246256,0.6187732990970554,31,Age; Sex,0.8567630295189997,1.0,1.0
All 35 participants,Negative Valence,O,Separation Anxiety,35,-0.22635359726775164,0.2052691356097114,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,O,Generalized Anxiety,35,-0.17826417740072487,0.32093244547735866,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Negative Valence,O,Obsessive Compulsive,35,-0.08480744504801549,0.6388954584211337,31,Age; Sex,0.8646705452316095,1.0,1.0
All 35 participants,Negative Valence,Frontal,Social Phobia,35,0.08564585597113525,0.6355714041670681,31,Age; Sex,0.8646705452316095,1.0,1.0
All 35 participants,Negative Valence,Frontal,Panic Disorder,35,-0.037984073759474324,0.8337738790589054,31,Age; Sex,0.943894957425176,1.0,1.0
All 35 participants,Negative Valence,Frontal,Major Depression,35,-0.08614992083153428,0.6335762837314071,31,Age; Sex,0.8646705452316095,1.0,1.0
All 35 participants,Negative Valence,Frontal,Separation Anxiety,35,-0.0740047336439363,0.6823233544979357,31,Age; Sex,0.8772728843544887,1.0,1.0
All 35 participants,Negative Valence,Frontal,Generalized Anxiety,35,-0.07093646477123693,0.6948503798364304,31,Age; Sex,0.8801611973331155,1.0,1.0
All 35 participants,Negative Valence,Frontal,Obsessive Compulsive,35,-0.17059320346482157,0.3425294152673123,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Negative Valence,PO,Social Phobia,35,-0.16550848816089814,0.3573198691127232,31,Age; Sex,0.7566773698857667,1.0,1.0
All 35 participants,Negative Valence,PO,Panic Disorder,35,-0.05499052499172267,0.7611689534731023,31,Age; Sex,0.9013842870076212,1.0,1.0
All 35 participants,Negative Valence,PO,Major Depression,35,-0.2049667851781201,0.25252257665660843,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,PO,Separation Anxiety,35,-0.4051411573897524,0.019339867201036923,31,Age; Sex,0.2320784064124431,1.0,1.0
All 35 participants,Negative Valence,PO,Generalized Anxiety,35,-0.3390889562645435,0.05355260163578152,31,Age; Sex,0.41910731714959454,1.0,1.0
All 35 participants,Negative Valence,PO,Obsessive Compulsive,35,-0.20014333951940133,0.2641013035853436,31,Age; Sex,0.6898668454023591,1.0,1.0
All 35 participants,Negative Valence,CP,Social Phobia,35,0.12994750794098703,0.4710491716909171,31,Age; Sex,0.8075128657558578,1.0,1.0
All 35 participants,Negative Valence,CP,Panic Disorder,35,0.0021305535207922846,0.9906113735397918,31,Age; Sex,0.9963691039633393,1.0,1.0
All 35 participants,Negative Valence,CP,Major Depression,35,-0.1510406591909943,0.40144911943114636,31,Age; Sex,0.7831018424615745,1.0,1.0
All 35 participants,Negative Valence,CP,Separation Anxiety,35,-0.32930801551857414,0.06129420276059369,31,Age; Sex,0.44131825987627454,1.0,1.0
All 35 participants,Negative Valence,CP,Generalized Anxiety,35,-0.1620006156379843,0.36774282876499487,31,Age; Sex,0.7595016988918457,1.0,1.0
All 35 participants,Negative Valence,CP,Obsessive Compulsive,35,-0.07875124982825177,0.6631083367604776,31,Age; Sex,0.8653375519157759,1.0,1.0
P27 omitted,Neutral Angry,LOT,Social Phobia,34,0.04038777716369629,0.8262860380267402,30,Age; Sex,0.9629400337344917,1.0,1.0
